Wavelength,Melanopic lux,Wavelength,CIE Scotopic 1951,Wavelength,CIE Photopic 1924,Wavelength,Photosynthesis,Wavelength,Cleve Moth Attraction,Wavelength,Bee Attraction,Wavelength,Green Turtle 92,Wavelength,Juvenile Salmon,Wavelength,Chelonia,Wavelength,Shearwater,Wavelength,Starry Light,Wavelength,Skyglow Rayleigh City Center,Wavelength,Skyglow Mie Remote,Wavelength,Loggerhead Hatchling Attraction,Wavelength,van Grunsven Insect Phototaxis
,,479,0.781,459,0.05745872,499,0.71,349,0.408415136,349,0,479,0.960177593,449,0.876099162,449,0.757464737,449,0.561109496,845,0,845,0,845,0,449,0.843004065,379,0.999481448
,,480,0.793,460,0.06,500,0.7,350,0.420853665,350,0.131362956,480,0.957468897,450,0.865789519,450,0.758335902,450,0.568728594,850,0,850,0,850,0,450,0.845180223,380,1
,,481,0.805,461,0.06260197,501,0.69,351,0.42958971,351,0.12928017,481,0.954713741,451,0.856209368,451,0.759327734,451,0.576481702,855,0,855,0,855,0,451,0.84734254,381,0.999958141
,,482,0.817,462,0.06527752,502,0.67,352,0.438368682,352,0.130347779,482,0.951916783,452,0.847245717,452,0.760438285,452,0.584354015,860,0,860,0,860,0,452,0.849490689,382,0.999348284
,,483,0.828,463,0.06804208,503,0.66,353,0.447190723,353,0.132886191,483,0.949082716,453,0.838721801,453,0.761662994,453,0.592330594,865,0,865,0,865,0,453,0.851624339,383,0.998165142
,,484,0.84,464,0.07091109,504,0.65,354,0.456055548,354,0.133256827,484,0.946216277,454,0.830459252,454,0.762997248,454,0.600396361,870,0,870,0,870,0,454,0.853743158,384,0.996405789
,,485,0.851,465,0.0739,505,0.64,355,0.464963443,355,0.139406655,485,0.943322238,455,0.822278098,455,0.764436391,455,0.6085361,875,0,875,0,875,0,455,0.85584681,385,0.994069692
,,486,0.862,466,0.077016,506,0.62,356,0.476692639,356,0.135695153,486,0.940405418,456,0.813996773,456,0.765975716,456,0.616734461,880,0,880,0,880,0,456,0.85793496,386,0.991158724
,,487,0.873,467,0.0802664,507,0.61,357,0.488480515,357,0.138970222,487,0.937470667,457,0.805432109,457,0.767610472,457,0.624975952,885,0,885,0,885,0,457,0.860007268,387,0.987677133
,,488,0.884,468,0.0836668,508,0.6,358,0.500326784,358,0.13890477,488,0.934522885,458,0.796399337,458,0.769335857,458,0.633244949,890,0,890,0,890,0,458,0.862063393,388,0.983631501
,,489,0.894,469,0.0872328,509,0.58,359,0.512231733,359,0.142591903,489,0.931567004,459,0.786712089,459,0.771147023,459,0.641525686,895,0,895,0,895,0,459,0.864102995,389,0.979030657
